,0
1813,ESUS
1814,ET
1815,ET$C
1816,ET$D
1817,ET$E
1818,ETB
1819,ETD
1820,ETG
1821,ETHO
1822,ETI$
1823,ETJ
1824,ETN
1825,ETO
1826,ETR
1827,ETRN
1828,ETV
1829,ETW
1830,ETWO
1831,ETWO.W
1832,ETX
1833,ETY
1834,EU
1835,EUDG
1836,EUDV
1837,EUM
1838,EUO
1839,EURL
1840,EURN
1841,EUSA
1842,EUSB
1843,EUSC
1844,EVA
1845,EVAV
1846,EVBN
1847,EVC
1848,EVE
1849,EVE.U
1850,EVE.W
1851,EVEX
1852,EVEX.W
1853,EVF
1854,EVG
1855,EVH
1856,EVI
1857,EVM
1858,EVN
1859,EVNT
1860,EVR
1861,EVRI
1862,EVT
1863,EVTC
1864,EVTL
1865,EVTL.W
1866,EVUS
1867,EVV
1868,EVX
1869,EW
1870,EWA
1871,EWC
1872,EWCO
1873,EWD
1874,EWG
1875,EWGS
1876,EWH
1877,EWI
1878,EWJ
1879,EWK
1880,EWL
1881,EWM
1882,EWMC
1883,EWN
1884,EWO
1885,EWP
1886,EWQ
1887,EWRE
1888,EWS
1889,EWT
1890,EWU
1891,EWUS
1892,EWV
1893,EWW
1894,EWX
1895,EWY
1896,EWZ
1897,EXG
1898,EXI
1899,EXK
1900,EXP
1901,EXPR
1902,EXR
1903,EYLD
1904,EZA
1905,EZJ
1906,EZM
1907,EZU
1908,F
1909,F$B
1910,F$C
1911,F$D
1912,FACT
1913,FACT.U
1914,FACT.W
1915,FAF
1916,FAIL
1917,FAM
1918,FAN
1919,FAPR
1920,FAS
1921,FATH
1922,FATH.W
1923,FAUG
1924,FAX
1925,FAZ
1926,FBCG
1927,FBCV
1928,FBGX
1929,FBIN
1930,FBK
1931,FBND
1932,FBP
1933,FBRT
1934,FBRT$E
1935,FBT
1936,FC
1937,FCF
1938,FCG
1939,FCLD
1940,FCN
1941,FCO
1942,FCOM
1943,FCOR
1944,FCPI
1945,FCPT
1946,FCRX
1947,FCSH
1948,FCT
1949,FCTR
